document_id	topic_id	weight
9	44	0.000202
9	45	2e-05
9	46	1.4e-05
9	47	1.2e-05
9	48	8e-06
9	49	3.1e-05
9	50	1.2e-05
9	51	9e-06
9	52	1.6e-05
9	53	9e-06
9	54	5e-06
9	55	2.6e-05
9	56	1.6e-05
9	57	1.6e-05
9	58	8.2e-05
9	59	0.000104
9	60	4.3e-05
9	61	1.7e-05
9	62	8.8e-05
9	63	1.2e-05
9	64	6.2e-05
9	65	2.6e-05
9	66	0.000133
9	67	9e-06
9	68	6.3e-05
9	69	2.2e-05
9	70	3e-05
9	71	2.5e-05
9	72	3.5e-05
9	73	1.4e-05
9	74	1.9e-05
9	75	3.3e-05
9	76	1.3e-05
9	77	1.3e-05
9	78	4e-06
9	79	1.9e-05
9	80	1.8e-05
9	81	7e-06
9	82	4.6e-05
9	83	1.2e-05
9	84	4e-06
9	85	7e-06
9	86	2.7e-05
9	87	2e-05
9	88	1.3e-05
9	89	1.3e-05
9	90	1.2e-05
9	91	3.7e-05
9	92	2.2e-05
9	93	2.5e-05
9	94	3.7e-05
9	95	1.5e-05
9	96	0.651104
9	97	2.6e-05
9	98	1.5e-05
9	99	1.9e-05
9	100	2.9e-05
10	1	6e-06
10	2	8e-06
10	3	1.1e-05
10	4	1.2e-05
10	5	3e-06
10	6	1e-06
10	7	5e-06
10	8	0.000149
10	9	8e-05
10	10	6e-06
10	11	6e-06
10	12	0.156668
10	13	9e-06
10	14	1.7e-05
10	15	1.3e-05
10	16	1.1e-05
10	17	1.8e-05
10	18	2e-06
10	19	1.2e-05
10	20	2.6e-05
10	21	2.9e-05
10	22	4e-06
10	23	0.000182
10	24	1.5e-05
10	25	1.4e-05
10	26	2.6e-05
10	27	2e-05
10	28	2e-06
10	29	2e-06
10	30	2e-06
10	31	1.7e-05
10	32	1.3e-05
10	33	1.5e-05
10	34	7e-06
10	35	8e-06
10	36	1.4e-05
10	37	1.1e-05
10	38	4e-06
10	39	4e-06
10	40	6e-06
10	41	2.8e-05
10	42	1.9e-05
10	43	0.643319
10	44	8.3e-05
10	45	8e-06
10	46	6e-06
10	47	5e-06
10	48	3e-06
10	49	1.3e-05
10	50	5e-06
10	51	4e-06
10	52	7e-06
10	53	4e-06
10	54	2e-06
10	55	1.1e-05
10	56	7e-06
10	57	7e-06
10	58	3.3e-05
10	59	4.3e-05
10	60	1.8e-05
10	61	7e-06
10	62	3.6e-05
10	63	5e-06
10	64	2.5e-05
10	65	1.1e-05
10	66	5.4e-05
10	67	4e-06
10	68	2.6e-05
10	69	9e-06
10	70	1.2e-05
10	71	1e-05
10	72	1.4e-05
10	73	6e-06
10	74	8e-06
10	75	0.198492
10	76	6e-06
10	77	6e-06
10	78	2e-06
10	79	8e-06
10	80	7e-06
10	81	3e-06
10	82	1.9e-05
10	83	5e-06
10	84	2e-06
10	85	3e-06
